Algoritmo,N,menor,maior,medio
busca linear,1,0.0000000,0.0000002,0.0000000
busca linear,201,0.0000000,0.0000005,0.0000002
busca linear,401,0.0000000,0.0000010,0.0000005
busca linear,601,0.0000000,0.0000010,0.0000005
busca linear,801,0.0000000,0.0000014,0.0000006
busca linear,1001,0.0000000,0.0000017,0.0000008
busca linear,1201,0.0000000,0.0000019,0.0000009
busca linear,1401,0.0000000,0.0000091,0.0000011
busca linear,1601,0.0000000,0.0000026,0.0000012
busca linear,1801,0.0000000,0.0000029,0.0000014
busca linear com ordenacao,1,0.0000000,0.0000002,0.0000000
busca linear com ordenacao,201,0.0000002,0.0000010,0.0000006
busca linear com ordenacao,401,0.0000007,0.0000017,0.0000012
busca linear com ordenacao,601,0.0000012,0.0000145,0.0000018
busca linear com ordenacao,801,0.0000017,0.0000072,0.0000023
busca linear com ordenacao,1001,0.0000021,0.0000055,0.0000029
busca linear com ordenacao,1201,0.0000024,0.0000160,0.0000035
busca linear com ordenacao,1401,0.0000029,0.0000083,0.0000041
busca linear com ordenacao,1601,0.0000033,0.0000105,0.0000046
busca linear com ordenacao,1801,0.0000038,0.0000079,0.0000052
busca binaria,1,0.0000000,0.0000002,0.0000000
busca binaria,201,0.0000000,0.0000002,0.0000001
busca binaria,401,0.0000000,0.0000002,0.0000001
busca binaria,601,0.0000000,0.0000002,0.0000001
busca binaria,801,0.0000000,0.0000002,0.0000001
busca binaria,1001,0.0000000,0.0000002,0.0000001
busca binaria,1201,0.0000000,0.0000002,0.0000001
busca binaria,1401,0.0000000,0.0000002,0.0000001
busca binaria,1601,0.0000000,0.0000002,0.0000001
busca binaria,1801,0.0000000,0.0000002,0.0000001
busca binaria com ordenacao,1,0.0000000,0.0000002,0.0000000
busca binaria com ordenacao,201,0.0000005,0.0000007,0.0000005
busca binaria com ordenacao,401,0.0000010,0.0000134,0.0000010
busca binaria com ordenacao,601,0.0000012,0.0000136,0.0000015
busca binaria com ordenacao,801,0.0000017,0.0000041,0.0000018
busca binaria com ordenacao,1001,0.0000021,0.0000043,0.0000022
busca binaria com ordenacao,1201,0.0000026,0.0000067,0.0000027
busca binaria com ordenacao,1401,0.0000029,0.0000098,0.0000031
busca binaria com ordenacao,1601,0.0000033,0.0000055,0.0000035
busca binaria com ordenacao,1801,0.0000038,0.0000081,0.0000040
bubble sort,1,0.00000000,0.00000143,0.00000004
bubble sort,1000,0.00000215,0.00001502,0.00000295
bubble sort,2000,0.00000429,0.00001431,0.00000454
bubble sort,4000,0.00000930,0.00003672,0.00000965
bubble sort,8000,0.00001788,0.00007176,0.00001840
bubble sort,16000,0.00003600,0.00015926,0.00003851
bubble sort,32000,0.00007176,0.00015402,0.00007288
bubble sort,64000,0.00014329,0.00022006,0.00014720
bubble sort,128000,0.00028610,0.00040436,0.00029296
bubble sort,256000,0.00057244,0.00109625,0.00059373
bubble sort,512000,0.00114679,0.00263429,0.00127375
bubble sort,1024000,0.00229359,0.00946927,0.00236288


